City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
251,Aquiraz,BR,-3.9014,-38.3911,80.19,81,26,12.8,scattered clouds
252,Noumea,NC,-22.2763,166.4572,76.98,63,54,11.25,broken clouds
253,Melilla,ES,35.2937,-2.9383,71.98,88,20,3.44,few clouds
254,Avera,US,33.194,-82.5271,69.85,52,58,7.09,broken clouds
255,Saint George,US,37.1041,-113.5841,83.43,26,20,3.0,few clouds
256,Sidney,AU,-33.8679,151.2073,67.32,64,0,5.75,clear sky
257,Arcata,US,40.8665,-124.0828,86.74,79,100,9.22,overcast clouds
258,Saskylakh,RU,71.9167,114.0833,11.93,98,99,5.1,overcast clouds
259,Vanimo,PG,-2.6741,141.3028,80.74,82,76,6.71,broken clouds
260,Dudinka,RU,69.4058,86.1778,34.63,90,100,26.06,overcast clouds
261,Duvan,RU,55.695,57.9024,43.18,67,89,5.19,overcast clouds
262,Hanmer Springs,NZ,-42.5167,172.8167,55.4,65,11,8.68,few clouds
263,Berdigestyakh,RU,62.0989,126.6992,26.31,91,100,7.72,light snow
264,Karratha,AU,-20.7377,116.8463,72.07,52,0,11.68,clear sky
265,College,US,64.8569,-147.8028,48.09,81,100,4.52,overcast clouds
266,Nisia Floresta,BR,-6.0911,-35.2086,80.98,78,41,8.75,scattered clouds
267,Lerwick,GB,60.1545,-1.1494,53.6,95,100,28.41,moderate rain
268,Arnia,IN,32.5167,74.8,74.79,63,0,1.57,clear sky
269,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,100,16.11,overcast clouds
270,Naze,JP,28.3667,129.4833,79.72,76,18,7.05,few clouds
271,Wageningen,NL,51.9667,5.6667,53.94,93,100,1.14,overcast clouds
272,Meiganga,CM,6.5167,14.3,65.7,96,100,0.78,light rain
273,Ronda,ES,36.7423,-5.1671,68.56,43,6,1.7,clear sky
274,Tautira,PF,-17.7333,-149.15,76.44,81,16,20.6,light rain
275,Marawi,PH,7.9986,124.2928,71.87,84,85,1.95,overcast clouds
276,Vao,NC,-22.6667,167.4833,69.26,66,20,15.19,few clouds
277,Luan,CH,46.3592,6.9759,50.36,90,7,3.83,clear sky
278,Nome,US,64.5011,-165.4064,43.16,87,100,12.03,overcast clouds
279,Hearst,CA,49.6835,-83.6665,66.45,71,89,9.33,overcast clouds
280,Kaputa,ZM,-8.4689,29.6619,73.98,51,10,2.3,clear sky
281,Ilhabela,BR,-23.7781,-45.3581,67.62,90,94,5.28,overcast clouds
282,Trutnov,CZ,50.561,15.9127,51.58,92,79,4.0,broken clouds
283,Westport,US,41.1415,-73.3579,52.3,81,100,7.0,moderate rain
284,Haines Junction,CA,60.7522,-137.5108,57.15,41,99,11.5,overcast clouds
285,Churapcha,RU,62.0025,132.4325,22.55,85,93,5.7,overcast clouds
286,Morondava,MG,-20.2833,44.2833,70.77,90,1,4.9,clear sky
287,Norman Wells,CA,65.282,-126.8329,37.44,87,100,4.61,light rain
288,Uyuni,BO,-20.4597,-66.825,49.1,14,0,12.93,clear sky
289,Gat,IL,31.61,34.7642,75.88,100,0,2.8,clear sky
290,Mapiripan,CO,2.8892,-72.1256,76.93,85,47,1.14,scattered clouds
291,Coquimbo,CL,-29.9533,-71.3436,56.93,76,75,9.22,broken clouds
292,Guerrero Negro,MX,27.9769,-114.0611,72.61,71,70,16.37,broken clouds
293,Ushirombo,TZ,-3.4919,31.9639,66.88,58,58,2.59,broken clouds
294,Benguela,AO,-12.5763,13.4055,72.5,81,97,2.8,overcast clouds
295,Fonseca,CO,10.8861,-72.8487,79.21,88,56,2.3,broken clouds
296,Selikhino,RU,50.3672,137.4996,34.23,98,100,9.91,snow
297,Lavrentiya,RU,65.5833,-171.0,39.42,68,3,3.89,clear sky
298,Yeniseysk,RU,58.4497,92.1703,26.29,89,30,1.39,scattered clouds
299,Whitehorse,CA,60.7161,-135.0538,51.03,54,75,12.66,broken clouds
300,Ancud,CL,-41.8697,-73.8203,48.18,92,100,12.68,light rain
301,Padre Bernardo,BR,-15.35,-48.5,74.7,65,73,4.05,broken clouds
302,Kruisfontein,ZA,-34.0033,24.7314,56.88,76,100,13.22,overcast clouds
303,Umm Lajj,SA,25.0213,37.2685,86.18,40,0,3.06,clear sky
304,Arman,RU,59.7,150.1667,32.02,61,100,12.5,overcast clouds
305,Odweyne,SO,9.4092,45.064,75.06,55,62,4.92,broken clouds
306,Pangnirtung,CA,66.1451,-65.7125,37.4,35,100,14.97,overcast clouds
307,Norden,DE,53.6,7.2,53.96,85,98,10.98,overcast clouds
308,Port Arthur,CN,38.8,121.2667,46.62,52,58,32.7,broken clouds
309,Te Anau,NZ,-45.4167,167.7167,47.16,76,100,7.31,overcast clouds
310,Sosnovo-Ozerskoye,RU,52.5249,111.5418,19.0,91,72,5.66,broken clouds
311,Esperance,AU,-33.8667,121.9,57.04,86,98,12.03,overcast clouds
312,Dauriya,RU,49.9333,116.8667,21.83,89,7,6.96,clear sky
313,Isangel,VU,-19.55,169.2667,77.11,83,100,4.61,overcast clouds
314,Shirokiy,RU,49.758,129.523,30.42,55,2,15.46,clear sky
315,Kirakira,SB,-10.4544,161.9205,82.15,78,57,8.08,broken clouds
316,Tumaco,CO,1.7986,-78.8156,78.15,84,78,10.42,light rain
317,Beloha,MG,-25.1667,45.05,65.73,81,0,4.74,clear sky
318,Sarakhs,IR,36.5449,61.1577,59.61,30,0,1.07,clear sky
319,Scarborough,GB,54.2797,-0.4044,56.77,84,100,10.0,overcast clouds
320,Phonhong,LA,18.5007,102.4166,71.83,94,62,2.17,broken clouds
321,Moindou,NC,-21.6924,165.677,72.93,57,63,12.68,broken clouds
322,Kirovohrad,UA,48.5132,32.2597,51.49,72,72,14.38,broken clouds
323,Barabai,ID,-2.5833,115.3833,74.59,96,69,1.97,broken clouds
324,Lucapa,AO,-8.4192,20.7447,67.19,85,49,3.91,scattered clouds
325,Fairbanks,US,64.8378,-147.7164,48.09,80,100,4.7,overcast clouds
326,Asandh,IN,29.5167,76.6,74.26,57,0,4.36,clear sky
327,Khowst,AF,33.3833,69.8833,68.04,52,0,3.18,clear sky
328,Cherskiy,RU,68.75,161.3,27.05,77,100,7.18,overcast clouds
329,Ostrovnoy,RU,68.0531,39.5131,42.69,91,100,7.49,overcast clouds
330,Tura,IN,25.5198,90.2201,72.57,97,100,2.91,overcast clouds
331,Narsaq,GL,60.9167,-46.05,35.82,64,38,4.85,scattered clouds
332,Charlestown,AU,-32.95,151.6667,68.02,68,65,1.99,broken clouds
333,Roald,NO,62.5833,6.1333,56.32,82,100,10.36,overcast clouds
334,Waipawa,NZ,-41.4122,175.5153,53.65,55,2,6.15,clear sky
335,Goderich,CA,43.7501,-81.7165,56.91,55,62,8.72,broken clouds
336,Havoysund,NO,70.9963,24.6622,43.03,69,57,7.7,light rain
337,Yichang,CN,30.7144,111.2847,70.57,68,100,6.49,overcast clouds
338,Rodos,GR,36.4408,28.2225,73.06,49,0,8.05,clear sky
339,Akureyri,IS,65.6835,-18.0878,48.13,76,100,8.05,overcast clouds
340,Hualmay,PE,-11.0964,-77.6139,63.64,80,19,9.95,few clouds
341,Malinovoye Ozero,RU,51.6753,79.7825,31.3,81,0,6.53,clear sky
342,Kudahuvadhoo,MV,2.6708,72.8944,82.06,75,100,17.87,overcast clouds
